Column1,Column2,Column3,Column4
362.0,116.88,2.68,0.44
363.0,116.88,2.66,0.46
364.0,116.86,2.68,0.46
365.0,116.84,2.7,0.46
366.0,116.78,2.76,0.46
367.0,116.76,2.78,0.46
368.0,116.72,2.8,0.48
369.0,116.72,2.8,0.48
370.0,116.7,2.82,0.48
371.0,116.7,2.82,0.48
372.0,116.7,2.82,0.48
373.0,116.7,2.82,0.48
374.0,116.7,2.82,0.48
375.0,116.7,2.82,0.48
376.0,116.7,2.82,0.48
377.0,116.7,2.82,0.48
378.0,116.7,2.82,0.48
379.0,116.7,2.82,0.48
380.0,116.7,2.82,0.48
381.0,116.7,2.82,0.48
382.0,116.7,2.82,0.48
383.0,116.68,2.84,0.48
384.0,116.68,2.84,0.48
385.0,116.66,2.86,0.48
386.0,116.66,2.86,0.48
387.0,116.66,2.86,0.48
388.0,116.66,2.86,0.48
389.0,116.66,2.86,0.48
390.0,116.64,2.88,0.48
391.0,116.64,2.88,0.48
392.0,116.62,2.9,0.48
393.0,116.62,2.9,0.48
394.0,116.62,2.9,0.48
395.0,116.62,2.9,0.48
396.0,116.6,2.92,0.48
397.0,116.56,2.96,0.48
398.0,116.56,2.96,0.48
399.0,116.56,2.96,0.48
400.0,116.56,2.96,0.48
401.0,116.54,2.98,0.48
402.0,116.54,2.98,0.48
403.0,116.54,2.98,0.48
404.0,116.52,3.0,0.48
405.0,116.5,3.02,0.48
406.0,116.48,3.04,0.48
407.0,116.46,3.06,0.48
408.0,116.46,3.06,0.48
409.0,116.46,3.06,0.48
410.0,116.46,3.06,0.48
411.0,116.46,3.06,0.48
412.0,116.46,3.06,0.48
413.0,116.46,3.06,0.48
414.0,116.46,3.06,0.48
415.0,116.46,3.06,0.48
416.0,116.4,3.12,0.48
417.0,116.38,3.14,0.48
418.0,116.38,3.14,0.48
419.0,116.38,3.14,0.48
420.0,116.38,3.14,0.48
421.0,116.34,3.18,0.48
422.0,116.34,3.18,0.48
423.0,116.32,3.2,0.48
424.0,116.3,3.22,0.48
425.0,116.26,3.26,0.48
426.0,116.24,3.28,0.48
427.0,116.24,3.28,0.48
428.0,116.24,3.28,0.48
429.0,116.22,3.3,0.48
430.0,116.22,3.28,0.5
431.0,116.2,3.3,0.5
432.0,116.2,3.3,0.5
433.0,116.18,3.32,0.5
434.0,116.18,3.32,0.5
435.0,116.18,3.28,0.54
436.0,116.18,3.28,0.54
437.0,116.18,3.28,0.54
438.0,116.18,3.28,0.54
439.0,116.18,3.28,0.54
440.0,116.16,3.3,0.54
441.0,116.14,3.32,0.54
442.0,116.14,3.32,0.54
443.0,116.14,3.3,0.56
444.0,116.12,3.32,0.56
445.0,116.1,3.34,0.56
446.0,116.1,3.34,0.56
447.0,116.1,3.34,0.56
448.0,116.08,3.34,0.58
449.0,116.08,3.32,0.6
450.0,116.08,3.3,0.62
451.0,116.08,3.3,0.62
452.0,116.06,3.32,0.62
453.0,116.02,3.36,0.62
454.0,116.0,3.38,0.62
455.0,116.0,3.38,0.62
456.0,116.0,3.38,0.62
457.0,115.98,3.4,0.62
458.0,115.98,3.4,0.62
459.0,115.98,3.4,0.62
460.0,115.96,3.42,0.62
461.0,115.96,3.42,0.62
462.0,115.96,3.42,0.62
463.0,115.94,3.44,0.62
464.0,115.9,3.48,0.62
465.0,115.9,3.48,0.62
466.0,115.9,3.48,0.62
467.0,115.9,3.46,0.64
468.0,115.88,3.48,0.64
469.0,115.86,3.5,0.64
470.0,115.84,3.52,0.64
471.0,115.84,3.52,0.64
472.0,115.84,3.52,0.64
473.0,115.84,3.52,0.64
474.0,115.84,3.5,0.66
475.0,115.82,3.52,0.66
476.0,115.82,3.5,0.68
